ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
asserted as,,geltend gemacht,,(geltend\sgemacht|machte\ses\geltend),,behauptet,,,,bedömd som,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,backward,,,,,,,,,1,
definite,,definitiv,,\b(definitiv|eindeutig)\b,eindeutig,,,,,bestämd,definitivt,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,1,,,,,,,,,324
doubtless,,zweifellos,,(zweifellos|ohne\s(Bedenken|Zweifel)|bedenklos),bedenklos,ohne Zweifel,ohne Bedenken,,,otvivelaktigt,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,,,,,,,,1,,
evident,,offensichtlich,,"\b(offensichtlich.{0,2}|offenkundig.{0,2}|evident.{0,2})\b",evident,offenkundig,,,,uppenbar,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,,,,,,,,1,,
hence,,daher,,(daher\s|aus\sdiesem\sGrund),aus diesem Grund,,,,,således,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,,,,,,,,,1,
obvious,,offenschtlich,,,offenkundig,augenscheinlich,,,,uppenbart,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,1,,,,,,,,,323
positive examination for,,positives Prüfungsergebnis für,,,positives Untersuchungsergebnis für,positive Untersuchungsergebnisse für,positive Prüfungsergebnisse für,,,positiva prov för,positivt prov för,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,1,,,,,,,,,322
positive study for,,positive Ergebnis für,,,positives Analyseergebnis für,,,,,positiv studie för,,,,,,,,,,,,,positiv(studie|examination|undersökning)(för),,,,,,,definiteExistence,,forward,forward,,,,,,,,,,325
seen as,,gesehen als,,,verstanden als,,,,,betraktas som,,,,,,,,,,,,,,,,,,,,definiteExistence,,forward,forward,,,,,,,,1,,
without doubt,,ohne Zweifel,,,zweifellos,,,,,utan tvivel,,,,,,,,,,,,,,,,,,,,definiteExistence,,bidirectional,bidirectional,,,,,,,,1,,
